university_name,university_director_fio
"Відокремлений підрозділ ""Ужгородський факультет Київського національного університету культури і мистецтв""",Митровка Михайло Миколайович
"Державний вищий навчальний заклад ""Ужгородський національний університет""",Смоланка Володимир Іванович
Закарпатська академія мистецтв,Небесник Іван Іванович
"Комунальний заклад вищої освіти ""Ужгородський інститут культури і мистецтв"" Закарпатської обласної ради",Шетеля Наталія Ігорівна
"Приватний заклад вищої освіти ""Карпатський університет імені Августина Волошина""",Бедь Віктор Васильович
"Товариство з обмеженою відповідальністю ""Заклад вищої освіти Східно-європейський слов'янський університет""",Несух Людмила Михайлівна
Ужгородський гуманітарно-економічний коледж Карпатського університету імені Августина Волошина,Дуб Марина Іванівна
Ужгородський коледж Київського університету культури,Хомченко Людмила Василівна
Ужгородський факультет менеджменту і бізнесу Київського університету культури,Вишневська Галина Георгіївна
"""Закарпатський угорський інститут імені Ференца Ракоці ІІ""",Черничко Степан Степанович
"Відокремлений структурний підрозділ ""Гуманітарно-педагогічний фаховий коледж Мукачівського державного університету""",Кушнір Іван Іванович
Закарпатське відділення Навчально-наукового інституту заочного та дистанційного навчання,
Мукачівський державний університет,Щербан Тетяна Дмитрівна
"Відокремлений структурний підрозділ закладу вищої освіти ""Відкритий міжнародний університет розвитку людини ""Україна"" Карпатський інститут підприємництва",Чопей Вікторія Степанівна
"Відокремлений структурний підрозділ ""Виноградівський фаховий коледж Мукачівського державного університету""",Іваніга Йосип Йосипович
Закарпатський навчально-науковий інститут Західноукраїнського національного університету,Стегура Клара Олександрівна
